ImageId,quadrant
340757,4
406211,4
396865,4
174140,2
383532,4
161652,2
224101,4
19491,4
320531,4
91963,4
32121,4
329263,3
381398,4
267613,4
412692,1
399044,3
386478,2
414480,4
279978,2
210395,3
403478,2
390332,4
192303,4
101093,1
255947,4
268321,4
265129,1
238243,1
359205,4
86780,1
208553,4
409459,4
376436,3
122028,4
403331,1
26821,4
391981,4
390866,1
24661,1
398825,4
360226,2
314562,1
242590,1
368939,3
276774,4
237204,2
352331,1
221618,3
166282,2
154098,2
414447,3
36125,4
375853,3
282618,3
55050,3
109340,3
284336,1
224713,1
369684,1
152965,1
219731,2
381077,3
395707,4
104859,2
202565,3
224428,1
142356,3
207792,4
178911,1
60462,4
123166,1
313747,1
171068,3
151484,4
254857,3
26336,1
386810,3
398682,3
144611,1
191810,3
167703,2
375001,4
400016,3
255147,4
394173,1
119089,3
235982,3
273874,2
124938,2
376122,2
262102,1
124830,4
382888,1
280977,4
212468,4
184421,3
143028,1
316001,2
383672,1
386360,4
390261,2
410899,2
346976,3
375557,1
176811,2
243106,3
264631,2
376220,1
284422,1
342224,2
267190,4
366858,2
335831,1
61706,2
